Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772006008103,3228,3228,3228,3228,3228,3228,3228,3228,52.45515441894531,49.045509338378906,50.017601013183594,52.06264114379883,52.030311584472656,49.75840759277344,51.61029815673828,49.30699920654297,53.99357986450195,49.24977111816406,0,0,0,0,0,0,0,0,2.620290517807007,17179869184,0,9500475392,0
201,1772006008103,3228,3228,3228,3228,3228,3228,3228,3228,52.45515441894531,49.045509338378906,50.017601013183594,52.06264114379883,52.030311584472656,49.75840759277344,51.61029815673828,49.30699920654297,53.99357986450195,49.24977111816406,0,50,0,NaN,100,0,0,0,2.620290517807007,17179869184,0,9503080448,0
202,1772006008305,3228,3228,3228,3228,3228,3228,3228,3228,52.45515441894531,49.045509338378906,50.017601013183594,52.06264114379883,52.030311584472656,49.75840759277344,51.61029815673828,49.30699920654297,53.99357986450195,49.24977111816406,60.000003814697266,45,25,66.66667175292969,15.000000953674316,9.523809432983398,5,9.523809432983398,2.620290517807007,17179869184,0,9510158336,0
199,1772006008507,3228,3228,3228,3228,3228,3228,3228,3228,53.97978210449219,49.84169006347656,53.180946350097656,55.50008773803711,54.064483642578125,50.71022415161133,53.08844757080078,50.98720932006836,54.785213470458984,49.66252899169922,85,85.71428680419922,50,45,35,30.000001907348633,15.000000953674316,15.000000953674316,2.620290517807007,17179869184,0,9906028544,0
200,1772006008707,3228,3228,3228,3228,3228,3228,3228,3228,53.97978210449219,49.84169006347656,53.180946350097656,55.50008773803711,54.064483642578125,50.71022415161133,53.08844757080078,50.98720932006836,54.785213470458984,49.66252899169922,65,61.11111068725586,45,45,30.000001907348633,20,20,14.285715103149414,2.620290517807007,17179869184,0,10333208576,0
203,1772006008908,3228,3228,3228,3228,3228,3228,3228,3228,53.97978210449219,49.84169006347656,53.180946350097656,55.50008773803711,54.064483642578125,50.71022415161133,53.08844757080078,50.98720932006836,54.785213470458984,49.66252899169922,45,35,15.789472579956055,25,0,4.761904716491699,0,0,5.531505107879639,17179869184,0,10718593024,0
199,1772006009111,3228,3228,3228,3228,3228,3228,3228,3228,53.97978210449219,49.84169006347656,53.180946350097656,55.50008773803711,54.064483642578125,50.71022415161133,53.08844757080078,50.98720932006836,54.785213470458984,49.66252899169922,38.095237731933594,42.85714340209961,10,15.000000953674316,9.090909004211426,0,0,0,5.531505107879639,17179869184,0,11174264832,0
200,1772006009311,3228,3228,3228,3228,3228,3228,3228,3228,56.67884063720703,51.53165817260742,58.249755859375,60.67676544189453,57.18365478515625,53.39162063598633,55.18080520629883,53.82603073120117,56.68458557128906,51.82117462158203,75,80,28.571430206298828,30.000001907348633,5,5.263157844543457,5,0,5.531505107879639,17179869184,0,11388944384,0
204,1772006009512,3228,3228,3228,3228,3228,3228,3228,3228,56.67884063720703,51.53165817260742,58.249755859375,60.67676544189453,57.18365478515625,53.39162063598633,55.18080520629883,53.82603073120117,56.68458557128906,51.82117462158203,70,63.15789031982422,26.3157901763916,40,15.000000953674316,9.523809432983398,5,0,5.531505107879639,17179869184,0,11713478656,0
200,1772006009717,3228,3228,3228,3228,3228,3228,3228,3228,56.67884063720703,51.53165817260742,58.249755859375,60.67676544189453,57.18365478515625,53.39162063598633,55.18080520629883,53.82603073120117,56.68458557128906,51.82117462158203,85,71.42857360839844,30.000001907348633,25,5,5,0,0,5.531505107879639,17179869184,0,11719245824,0
