Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771973443717,3228,3228,3228,3228,3228,3228,3228,3228,59.6639404296875,56.59756088256836,57.199607849121094,59.76469802856445,59.523597717285156,57.55744934082031,59.201778411865234,56.73506164550781,61.78299331665039,56.43073272705078,100,100,0,0,33.333335876464844,0,0,0,5.946998596191406,17179869184,0,10515988480,0
209,1771973443717,3228,3228,3228,3228,3228,3228,3228,3228,59.6639404296875,56.59756088256836,57.199607849121094,59.76469802856445,59.523597717285156,57.55744934082031,59.201778411865234,56.73506164550781,61.78299331665039,56.43073272705078,100,NaN,NaN,0,NaN,0,50,0,5.946998596191406,17179869184,0,10516742144,0
202,1771973443927,3228,3228,3228,3228,3228,3228,3228,3228,60.006752014160156,57.20600509643555,57.79552459716797,60.00360107421875,59.523658752441406,57.505393981933594,59.4429931640625,56.91950225830078,61.80278396606445,56.616905212402344,95,100,47.619049072265625,33.333335876464844,14.285715103149414,19.047618865966797,0,4.545454502105713,5.946998596191406,17179869184,0,10516742144,0
202,1771973444130,3228,3228,3228,3228,3228,3228,3228,3228,60.006752014160156,57.20600509643555,57.79552459716797,60.00360107421875,59.523658752441406,57.505393981933594,59.4429931640625,56.91950225830078,61.80278396606445,56.616905212402344,100,90,47.619049072265625,50,40,28.571430206298828,14.285715103149414,19.047618865966797,5.946998596191406,17179869184,0,10516742144,0
204,1771973444333,3228,3228,3228,3228,3228,3228,3228,3228,60.006752014160156,57.20600509643555,57.79552459716797,60.00360107421875,59.523658752441406,57.505393981933594,59.4429931640625,56.91950225830078,61.80278396606445,56.616905212402344,90.47618865966797,90.47618865966797,65,55,65,31.57894515991211,25,10.526315689086914,6.864796161651611,17179869184,0,10584129536,0
207,1771973444538,3228,3228,3228,3228,3228,3228,3228,3228,60.006752014160156,57.20600509643555,57.79552459716797,60.00360107421875,59.523658752441406,57.505393981933594,59.4429931640625,56.91950225830078,61.80278396606445,56.616905212402344,80.95238494873047,80,42.105262756347656,70,60.000003814697266,14.285715103149414,5,4.761904716491699,6.864796161651611,17179869184,0,10624712704,0
204,1771973444745,3228,3228,3228,3228,3228,3228,3228,3228,60.006752014160156,57.20600509643555,57.79552459716797,60.00360107421875,59.523658752441406,57.505393981933594,59.4429931640625,56.91950225830078,61.80278396606445,56.616905212402344,100,100,42.85714340209961,42.85714340209961,23.809524536132813,23.809524536132813,35,10,6.864796161651611,17179869184,0,10624712704,0
202,1771973444949,3228,3228,3228,3228,3228,3228,3228,3228,63.44005584716797,59.17898178100586,64.36810302734375,67.13394927978516,64.54669189453125,60.66977310180664,62.42445755004883,60.70979309082031,63.69487762451172,57.96094512939453,90.90909576416016,90.47618865966797,50,30.000001907348633,19.047618865966797,10,4.761904716491699,4.761904716491699,6.864796161651611,17179869184,0,10624712704,0
199,1771973445151,3228,3228,3228,3228,3228,3228,3228,3228,63.44005584716797,59.17898178100586,64.36810302734375,67.13394927978516,64.54669189453125,60.66977310180664,62.42445755004883,60.70979309082031,63.69487762451172,57.96094512939453,78.94737243652344,78.94737243652344,14.285715103149414,20,66.66667175292969,0,0,0,6.864796161651611,17179869184,0,10624712704,0
199,1771973445351,3228,3228,3228,3228,3228,3228,3228,3228,63.44005584716797,59.17898178100586,64.36810302734375,67.13394927978516,64.54669189453125,60.66977310180664,62.42445755004883,60.70979309082031,63.69487762451172,57.96094512939453,100,95,22.22222328186035,25,10.526315689086914,5,0,0,11.919578552246094,17179869184,0,11919966208,0
