Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771970016138,3228,3228,3228,3228,3228,3228,3228,3228,59.02164077758789,55.155216217041016,57.32648468017578,59.016597747802734,58.49609375,56.539642333984375,58.832489013671875,56.36927795410156,60.54415512084961,56.12865447998047,100,100,66.66667175292969,0,0,0,0,0,5.735161781311035,17179869184,0,9800056832,0
200,1771970016138,3228,3228,3228,3228,3228,3228,3228,3228,59.02164077758789,55.155216217041016,57.32648468017578,59.016597747802734,58.49609375,56.539642333984375,58.832489013671875,56.36927795410156,60.54415512084961,56.12865447998047,0,100,NaN,50,0,0,100,0,5.735161781311035,17179869184,0,9800056832,0
201,1771970016339,3228,3228,3228,3228,3228,3228,3228,3228,59.02164077758789,55.155216217041016,57.32648468017578,59.016597747802734,58.49609375,56.539642333984375,58.832489013671875,56.36927795410156,60.54415512084961,56.12865447998047,80,70,20,60.000003814697266,9.523809432983398,5,0,0,5.82214879989624,17179869184,0,9800056832,0
200,1771970016540,3228,3228,3228,3228,3228,3228,3228,3228,59.02164077758789,55.155216217041016,57.32648468017578,59.016597747802734,58.49609375,56.539642333984375,58.832489013671875,56.36927795410156,60.54415512084961,56.12865447998047,90,90,60.000003814697266,45,45,38.095237731933594,23.809524536132813,19.047618865966797,5.82214879989624,17179869184,0,9800056832,0
207,1771970016741,3228,3228,3228,3228,3228,3228,3228,3228,61.35945129394531,56.137508392333984,61.96074676513672,63.756202697753906,61.014312744140625,57.835777282714844,60.602752685546875,58.473045349121094,61.83982467651367,57.203819274902344,80.95238494873047,80.95238494873047,30.000001907348633,25,5.263157844543457,0,0,0,5.82214879989624,17179869184,0,10329915392,0
209,1771970016949,3228,3228,3228,3228,3228,3228,3228,3228,61.35945129394531,56.137508392333984,61.96074676513672,63.756202697753906,61.014312744140625,57.835777282714844,60.602752685546875,58.473045349121094,61.83982467651367,57.203819274902344,75,73.68421173095703,35,25,14.285715103149414,14.285715103149414,4.761904716491699,0,5.82214879989624,17179869184,0,10816880640,0
202,1771970017159,3228,3228,3228,3228,3228,3228,3228,3228,61.35945129394531,56.137508392333984,61.96074676513672,63.756202697753906,61.014312744140625,57.835777282714844,60.602752685546875,58.473045349121094,61.83982467651367,57.203819274902344,100,95.45454406738281,42.85714340209961,45.45454788208008,38.095237731933594,23.809524536132813,15.000000953674316,14.285715103149414,5.82214879989624,17179869184,0,10816880640,0
203,1771970017362,3228,3228,3228,3228,3228,3228,3228,3228,61.35945129394531,56.137508392333984,61.96074676513672,63.756202697753906,61.014312744140625,57.835777282714844,60.602752685546875,58.473045349121094,61.83982467651367,57.203819274902344,78.94737243652344,85,15.000000953674316,26.3157901763916,10,5,4.761904716491699,0,7.231590270996094,17179869184,0,10816880640,0
199,1771970017566,3228,3228,3228,3228,3228,3228,3228,3228,61.35945129394531,56.137508392333984,61.96074676513672,63.756202697753906,61.014312744140625,57.835777282714844,60.602752685546875,58.473045349121094,61.83982467651367,57.203819274902344,85.71428680419922,85,31.57894515991211,38.095237731933594,19.047618865966797,0,5,0,7.231590270996094,17179869184,0,10816880640,0
200,1771970017766,3228,3228,3228,3228,3228,3228,3228,3228,62.929195404052734,57.24891662597656,64.42395782470703,66.17510223388672,62.762367248535156,59.4300651550293,61.727603912353516,59.86129379272461,62.613746643066406,58.267906188964844,90.47618865966797,95,35,15.789472579956055,5.263157844543457,14.285715103149414,0,0,7.231590270996094,17179869184,0,12286263296,0
201,1771970017967,3228,3228,3228,3228,3228,3228,3228,3228,62.929195404052734,57.24891662597656,64.42395782470703,66.17510223388672,62.762367248535156,59.4300651550293,61.727603912353516,59.86129379272461,62.613746643066406,58.267906188964844,100,90,19.047618865966797,10,9.523809432983398,0,0,0,7.231590270996094,17179869184,0,12291801088,0
209,1771970018169,3228,3228,3228,3228,3228,3228,3228,3228,62.929195404052734,57.24891662597656,64.42395782470703,66.17510223388672,62.762367248535156,59.4300651550293,61.727603912353516,59.86129379272461,62.613746643066406,58.267906188964844,90,85.71428680419922,5.263157844543457,0,0,0,0,0,7.231590270996094,17179869184,0,12285411328,0
200,1771970018379,3228,3228,3228,3228,3228,3228,3228,3228,62.929195404052734,57.24891662597656,64.42395782470703,66.17510223388672,62.762367248535156,59.4300651550293,61.727603912353516,59.86129379272461,62.613746643066406,58.267906188964844,95,90,13.636363983154297,9.090909004211426,0,0,0,0,17.70912742614746,17179869184,0,12292210688,0
200,1771970018579,3228,3228,3228,3228,3228,3228,3228,3228,62.929195404052734,57.24891662597656,64.42395782470703,66.17510223388672,62.762367248535156,59.4300651550293,61.727603912353516,59.86129379272461,62.613746643066406,58.267906188964844,90,80,5,0,4.761904716491699,0,0,0,17.70912742614746,17179869184,0,12289835008,0
199,1771970018780,3228,3228,3228,3228,3228,3228,3228,3228,62.37384033203125,58.13711166381836,61.703948974609375,63.48883056640625,61.02203369140625,58.556640625,63.04737091064453,60.426639556884766,62.76547622680664,58.572540283203125,90.47618865966797,95,5.263157844543457,5,0,4.761904716491699,0,0,17.70912742614746,17179869184,0,12295340032,0
205,1771970018980,3228,3228,3228,3228,3228,3228,3228,3228,62.37384033203125,58.13711166381836,61.703948974609375,63.48883056640625,61.02203369140625,58.556640625,63.04737091064453,60.426639556884766,62.76547622680664,58.572540283203125,94.73684692382813,89.47368621826172,10,4.761904716491699,0,0,0,0,17.70912742614746,17179869184,0,12291194880,0
201,1771970019186,3228,3228,3228,3228,3228,3228,3228,3228,62.37384033203125,58.13711166381836,61.703948974609375,63.48883056640625,61.02203369140625,58.556640625,63.04737091064453,60.426639556884766,62.76547622680664,58.572540283203125,90.47618865966797,90.47618865966797,4.761904716491699,0,0,0,0,0,28.401948928833008,17179869184,0,12295979008,0
209,1771970019387,3228,3228,3228,3228,3228,3228,3228,3228,62.37384033203125,58.13711166381836,61.703948974609375,63.48883056640625,61.02203369140625,58.556640625,63.04737091064453,60.426639556884766,62.76547622680664,58.572540283203125,94.73684692382813,94.73684692382813,5,0,0,4.761904716491699,0,0,28.401948928833008,17179869184,0,12293275648,0
200,1771970019597,3228,3228,3228,3228,3228,3228,3228,3228,62.37384033203125,58.13711166381836,61.703948974609375,63.48883056640625,61.02203369140625,58.556640625,63.04737091064453,60.426639556884766,62.76547622680664,58.572540283203125,90.90909576416016,90.90909576416016,5,0,0,0,0,0,28.401948928833008,17179869184,0,12294094848,0
206,1771970019797,3228,3228,3228,3228,3228,3228,3228,3228,62.92575454711914,58.75054168701172,62.42112731933594,64.05488586425781,61.46165466308594,59.18592071533203,63.814430236816406,61.254093170166016,63.7303466796875,59.25835418701172,94.44444274902344,94.73684692382813,5,4.761904716491699,0,5,0,0,28.401948928833008,17179869184,0,12293554176,0
