Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771963242673,3228,3228,3228,3228,3228,3228,3228,3228,59.511573791503906,56.392662048339844,57.301307678222656,59.486000061035156,58.11418914794922,57.19389343261719,58.22358703613281,56.27661895751953,60.25887680053711,55.87890625,100,100,0,50,0,0,0,0,7.096963882446289,17179869184,0,10250878976,0
208,1771963242674,3228,3228,3228,3228,3228,3228,3228,3228,59.511573791503906,56.392662048339844,57.301307678222656,59.486000061035156,58.11418914794922,57.19389343261719,58.22358703613281,56.27661895751953,60.25887680053711,55.87890625,NaN,NaN,100,50,NaN,0,0,0,7.096963882446289,17179869184,0,10252681216,0
202,1771963242883,3228,3228,3228,3228,3228,3228,3228,3228,59.511573791503906,56.392662048339844,57.301307678222656,59.486000061035156,58.11418914794922,57.19389343261719,58.22358703613281,56.27661895751953,60.25887680053711,55.87890625,85.71428680419922,86.36363983154297,19.047618865966797,57.894737243652344,5,4.761904716491699,0,0,7.096963882446289,17179869184,0,10252681216,0
202,1771963243085,3228,3228,3228,3228,3228,3228,3228,3228,59.511573791503906,56.392662048339844,57.301307678222656,59.486000061035156,58.11418914794922,57.19389343261719,58.22358703613281,56.27661895751953,60.25887680053711,55.87890625,90,95.23809814453125,55,42.85714340209961,30.000001907348633,40,9.523809432983398,4.761904716491699,7.096963882446289,17179869184,0,10252681216,0
199,1771963243288,3228,3228,3228,3228,3228,3228,3228,3228,59.511573791503906,56.392662048339844,57.301307678222656,59.486000061035156,58.11418914794922,57.19389343261719,58.22358703613281,56.27661895751953,60.25887680053711,55.87890625,100,100,52.6315803527832,57.142860412597656,45,42.85714340209961,35,20,7.04248046875,17179869184,0,10809999360,0
202,1771963243488,3228,3228,3228,3228,3228,3228,3228,3228,59.511573791503906,56.392662048339844,57.301307678222656,59.486000061035156,58.11418914794922,57.19389343261719,58.22358703613281,56.27661895751953,60.25887680053711,55.87890625,100,100,23.809524536132813,26.3157901763916,9.523809432983398,5.263157844543457,0,0,7.04248046875,17179869184,0,11282743296,0
199,1771963243690,3228,3228,3228,3228,3228,3228,3228,3228,63.010536193847656,58.34654235839844,64.15727996826172,66.54464721679688,62.213111877441406,59.75069808959961,61.67802810668945,60.15555191040039,61.880489349365234,57.56568145751953,90,90.47618865966797,10.526315689086914,30.000001907348633,5.263157844543457,5,0,0,7.04248046875,17179869184,0,11749572608,0
203,1771963243890,3228,3228,3228,3228,3228,3228,3228,3228,63.010536193847656,58.34654235839844,64.15727996826172,66.54464721679688,62.213111877441406,59.75069808959961,61.67802810668945,60.15555191040039,61.880489349365234,57.56568145751953,100,94.73684692382813,33.333335876464844,28.571430206298828,15.000000953674316,14.285715103149414,9.523809432983398,5,7.04248046875,17179869184,0,12128108544,0
203,1771963244094,3228,3228,3228,3228,3228,3228,3228,3228,63.010536193847656,58.34654235839844,64.15727996826172,66.54464721679688,62.213111877441406,59.75069808959961,61.67802810668945,60.15555191040039,61.880489349365234,57.56568145751953,90.47618865966797,95.23809814453125,47.36842346191406,27.77777862548828,10,14.285715103149414,0,0,7.04248046875,17179869184,0,12150194176,0
209,1771963244298,3228,3228,3228,3228,3228,3228,3228,3228,63.010536193847656,58.34654235839844,64.15727996826172,66.54464721679688,62.213111877441406,59.75069808959961,61.67802810668945,60.15555191040039,61.880489349365234,57.56568145751953,100,100,14.285715103149414,9.090909004211426,0,0,0,0,13.13968276977539,17179869184,0,12149997568,0
200,1771963244508,3228,3228,3228,3228,3228,3228,3228,3228,63.010536193847656,58.34654235839844,64.15727996826172,66.54464721679688,62.213111877441406,59.75069808959961,61.67802810668945,60.15555191040039,61.880489349365234,57.56568145751953,100,100,5.263157844543457,0,4.761904716491699,0,0,0,13.13968276977539,17179869184,0,12144885760,0
209,1771963244708,3228,3228,3228,3228,3228,3228,3228,3228,62.31452941894531,58.200439453125,61.9241943359375,63.931922912597656,60.78815460205078,58.97977828979492,61.25560760498047,59.65912628173828,62.09592819213867,57.59667205810547,100,100,4.761904716491699,0,0,0,0,0,13.13968276977539,17179869184,0,12149374976,0
202,1771963244918,3228,3228,3228,3228,3228,3228,3228,3228,62.31452941894531,58.200439453125,61.9241943359375,63.931922912597656,60.78815460205078,58.97977828979492,61.25560760498047,59.65912628173828,62.09592819213867,57.59667205810547,100,95.23809814453125,4.761904716491699,0,4.545454502105713,0,0,0,13.13968276977539,17179869184,0,12150734848,0
209,1771963245121,3228,3228,3228,3228,3228,3228,3228,3228,62.31452941894531,58.200439453125,61.9241943359375,63.931922912597656,60.78815460205078,58.97977828979492,61.25560760498047,59.65912628173828,62.09592819213867,57.59667205810547,95,100,50,40,25,20,15.000000953674316,5,18.871849060058594,17179869184,0,12117524480,0
209,1771963245331,3228,3228,3228,3228,3228,3228,3228,3228,62.31452941894531,58.200439453125,61.9241943359375,63.931922912597656,60.78815460205078,58.97977828979492,61.25560760498047,59.65912628173828,62.09592819213867,57.59667205810547,100,100,10,4.761904716491699,4.761904716491699,0,0,0,18.871849060058594,17179869184,0,12143575040,0
199,1771963245541,3228,3228,3228,3228,3228,3228,3228,3228,62.31452941894531,58.200439453125,61.9241943359375,63.931922912597656,60.78815460205078,58.97977828979492,61.25560760498047,59.65912628173828,62.09592819213867,57.59667205810547,100,100,13.043478012084961,4.545454502105713,0,0,0,0,18.871849060058594,17179869184,0,12158435328,0
