Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772008716194,3228,3228,3228,3228,3228,3228,3228,3228,57.232547760009766,54.41565704345703,55.04878234863281,57.15293884277344,57.10395050048828,55.18015670776367,56.3244514465332,54.208736419677734,59.04560852050781,54.045387268066406,50,50,0,NaN,0,0,0,0,4.378671646118164,17179869184,0,11523768320,0
200,1772008716194,3228,3228,3228,3228,3228,3228,3228,3228,57.232547760009766,54.41565704345703,55.04878234863281,57.15293884277344,57.10395050048828,55.18015670776367,56.3244514465332,54.208736419677734,59.04560852050781,54.045387268066406,100,0,50,0,0,NaN,0,0,4.378671646118164,17179869184,0,11527913472,0
200,1772008716395,3228,3228,3228,3228,3228,3228,3228,3228,58.491031646728516,55.294403076171875,57.18756866455078,59.625831604003906,58.847747802734375,55.720218658447266,57.50938415527344,55.665103912353516,59.8078727722168,54.40900421142578,25,21.052631378173828,25,57.142860412597656,5,4.761904716491699,0,0,4.378671646118164,17179869184,0,11562614784,0
200,1772008716596,3228,3228,3228,3228,3228,3228,3228,3228,58.491031646728516,55.294403076171875,57.18756866455078,59.625831604003906,58.847747802734375,55.720218658447266,57.50938415527344,55.665103912353516,59.8078727722168,54.40900421142578,95,90.90909576416016,42.105262756347656,42.105262756347656,45,40,20,9.523809432983398,4.378671646118164,17179869184,0,11637391360,0
201,1772008716796,3228,3228,3228,3228,3228,3228,3228,3228,58.491031646728516,55.294403076171875,57.18756866455078,59.625831604003906,58.847747802734375,55.720218658447266,57.50938415527344,55.665103912353516,59.8078727722168,54.40900421142578,85,89.47368621826172,61.904762268066406,57.142860412597656,40,45,35,20,5.445652484893799,17179869184,0,11795529728,0
203,1772008716998,3228,3228,3228,3228,3228,3228,3228,3228,58.491031646728516,55.294403076171875,57.18756866455078,59.625831604003906,58.847747802734375,55.720218658447266,57.50938415527344,55.665103912353516,59.8078727722168,54.40900421142578,55,55,31.57894515991211,21.052631378173828,20,5,0,0,5.445652484893799,17179869184,0,11800084480,0
204,1772008717201,3228,3228,3228,3228,3228,3228,3228,3228,58.491031646728516,55.294403076171875,57.18756866455078,59.625831604003906,58.847747802734375,55.720218658447266,57.50938415527344,55.665103912353516,59.8078727722168,54.40900421142578,65,60.000003814697266,20,20,4.761904716491699,4.761904716491699,0,0,5.445652484893799,17179869184,0,11800084480,0
205,1772008717406,3228,3228,3228,3228,3228,3228,3228,3228,61.6651725769043,57.37489700317383,63.107200622558594,65.83635711669922,62.34527587890625,58.638916015625,60.37146759033203,59.07920837402344,61.74657440185547,56.279014587402344,38.095237731933594,35,20,20,0,0,0,0,5.445652484893799,17179869184,0,11800084480,0
207,1772008717612,3228,3228,3228,3228,3228,3228,3228,3228,61.6651725769043,57.37489700317383,63.107200622558594,65.83635711669922,62.34527587890625,58.638916015625,60.37146759033203,59.07920837402344,61.74657440185547,56.279014587402344,35,38.095237731933594,20,23.809524536132813,9.523809432983398,0,0,0,5.445652484893799,17179869184,0,11800084480,0
209,1772008717820,3228,3228,3228,3228,3228,3228,3228,3228,61.6651725769043,57.37489700317383,63.107200622558594,65.83635711669922,62.34527587890625,58.638916015625,60.37146759033203,59.07920837402344,61.74657440185547,56.279014587402344,95,95.23809814453125,75,50,47.36842346191406,47.619049072265625,42.85714340209961,36.3636360168457,16.394826889038086,17179869184,0,11601903616,0
