Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771990423913,3228,3228,3228,3228,3228,3228,3228,3228,59.40153121948242,55.55321502685547,57.614891052246094,59.93642807006836,59.00706481933594,56.86054992675781,59.06171798706055,56.91015625,60.234718322753906,56.03968811035156,100,NaN,0,0,0,0,0,0,5.679486274719238,17179869184,0,10208198656,0
200,1771990423913,3228,3228,3228,3228,3228,3228,3228,3228,59.40153121948242,55.55321502685547,57.614891052246094,59.93642807006836,59.00706481933594,56.86054992675781,59.06171798706055,56.91015625,60.234718322753906,56.03968811035156,0,50,NaN,0,0,NaN,0,0,5.679486274719238,17179869184,0,10209509376,0
200,1771990424114,3228,3228,3228,3228,3228,3228,3228,3228,59.40153121948242,55.55321502685547,57.614891052246094,59.93642807006836,59.00706481933594,56.86054992675781,59.06171798706055,56.91015625,60.234718322753906,56.03968811035156,80,78.94737243652344,25,65,15.000000953674316,9.523809432983398,4.761904716491699,0,5.679486274719238,17179869184,0,10209509376,0
200,1771990424315,3228,3228,3228,3228,3228,3228,3228,3228,59.40153121948242,55.55321502685547,57.614891052246094,59.93642807006836,59.00706481933594,56.86054992675781,59.06171798706055,56.91015625,60.234718322753906,56.03968811035156,95.23809814453125,95.23809814453125,70,60.000003814697266,36.842105865478516,60.000003814697266,35,23.809524536132813,5.679486274719238,17179869184,0,10209509376,0
202,1771990424516,3228,3228,3228,3228,3228,3228,3228,3228,59.40153121948242,55.55321502685547,57.614891052246094,59.93642807006836,59.00706481933594,56.86054992675781,59.06171798706055,56.91015625,60.234718322753906,56.03968811035156,65,70,30.000001907348633,30.000001907348633,25,10,5,5.263157844543457,6.090060710906982,17179869184,0,10699538432,0
199,1771990424719,3228,3228,3228,3228,3228,3228,3228,3228,59.40153121948242,55.55321502685547,57.614891052246094,59.93642807006836,59.00706481933594,56.86054992675781,59.06171798706055,56.91015625,60.234718322753906,56.03968811035156,65,63.15789031982422,10,25,4.761904716491699,0,0,0,6.090060710906982,17179869184,0,11177345024,0
200,1771990424918,3228,3228,3228,3228,3228,3228,3228,3228,62.559200286865234,57.60643005371094,64.23546600341797,67.0982666015625,62.55970001220703,59.22064971923828,62.31880187988281,60.195980072021484,62.00322341918945,57.702842712402344,90,90,42.105262756347656,36.842105865478516,25,10,5,0,6.090060710906982,17179869184,0,11617599488,0
204,1771990425119,3228,3228,3228,3228,3228,3228,3228,3228,62.559200286865234,57.60643005371094,64.23546600341797,67.0982666015625,62.55970001220703,59.22064971923828,62.31880187988281,60.195980072021484,62.00322341918945,57.702842712402344,89.47368621826172,85.71428680419922,50,52.38095474243164,26.3157901763916,31.57894515991211,20,10,6.090060710906982,17179869184,0,12001804288,0
199,1771990425324,3228,3228,3228,3228,3228,3228,3228,3228,62.559200286865234,57.60643005371094,64.23546600341797,67.0982666015625,62.55970001220703,59.22064971923828,62.31880187988281,60.195980072021484,62.00322341918945,57.702842712402344,61.904762268066406,60.000003814697266,23.809524536132813,30.000001907348633,30.000001907348633,9.523809432983398,10,0,6.090060710906982,17179869184,0,12365791232,0
209,1771990425524,3228,3228,3228,3228,3228,3228,3228,3228,62.559200286865234,57.60643005371094,64.23546600341797,67.0982666015625,62.55970001220703,59.22064971923828,62.31880187988281,60.195980072021484,62.00322341918945,57.702842712402344,90,85,40,26.3157901763916,19.047618865966797,15.000000953674316,10,5,14.07000732421875,17179869184,0,12373229568,0
209,1771990425734,3228,3228,3228,3228,3228,3228,3228,3228,62.559200286865234,57.60643005371094,64.23546600341797,67.0982666015625,62.55970001220703,59.22064971923828,62.31880187988281,60.195980072021484,62.00322341918945,57.702842712402344,100,100,15.000000953674316,9.523809432983398,0,4.761904716491699,4.545454502105713,4.545454502105713,14.07000732421875,17179869184,0,12369543168,0
