Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771987018408,3228,3228,3228,3228,3228,3228,3228,3228,58.3877067565918,55.2220344543457,56.16993713378906,58.466346740722656,57.570953369140625,55.40965270996094,58.11109161376953,55.037628173828125,59.64310836791992,55.39250946044922,100,0,0,0,0,0,0,0,5.467016696929932,17179869184,0,9961013248,0
205,1771987018408,3228,3228,3228,3228,3228,3228,3228,3228,58.3877067565918,55.2220344543457,56.16993713378906,58.466346740722656,57.570953369140625,55.40965270996094,58.11109161376953,55.037628173828125,59.64310836791992,55.39250946044922,50,100,0,100,0,0,0,0,5.467016696929932,17179869184,0,9961013248,0
209,1771987018615,3228,3228,3228,3228,3228,3228,3228,3228,58.3877067565918,55.2220344543457,56.16993713378906,58.466346740722656,57.570953369140625,55.40965270996094,58.11109161376953,55.037628173828125,59.64310836791992,55.39250946044922,80,76.19047546386719,35,61.904762268066406,28.571430206298828,10,5,4.761904716491699,5.467016696929932,17179869184,0,9961013248,0
200,1771987018825,3228,3228,3228,3228,3228,3228,3228,3228,58.3877067565918,55.2220344543457,56.16993713378906,58.466346740722656,57.570953369140625,55.40965270996094,58.11109161376953,55.037628173828125,59.64310836791992,55.39250946044922,80,80.95238494873047,54.54545593261719,38.095237731933594,30.000001907348633,28.571430206298828,19.047618865966797,14.285715103149414,5.467016696929932,17179869184,0,9961013248,0
202,1771987019025,3228,3228,3228,3228,3228,3228,3228,3228,60.084136962890625,56.319129943847656,60.210960388183594,62.471038818359375,59.75873565673828,56.54332733154297,59.87779235839844,57.05561065673828,60.594696044921875,56.20996856689453,57.142860412597656,50,5.263157844543457,35,5,0,0,0,5.467016696929932,17179869184,0,10555375616,0
200,1771987019228,3228,3228,3228,3228,3228,3228,3228,3228,60.084136962890625,56.319129943847656,60.210960388183594,62.471038818359375,59.75873565673828,56.54332733154297,59.87779235839844,57.05561065673828,60.594696044921875,56.20996856689453,75,75,14.285715103149414,21.052631378173828,9.090909004211426,4.761904716491699,0,0,5.467016696929932,17179869184,0,11031756800,0
199,1771987019428,3228,3228,3228,3228,3228,3228,3228,3228,60.084136962890625,56.319129943847656,60.210960388183594,62.471038818359375,59.75873565673828,56.54332733154297,59.87779235839844,57.05561065673828,60.594696044921875,56.20996856689453,75,75,15.789472579956055,23.809524536132813,0,0,0,0,6.6317362785339355,17179869184,0,11500109824,0
209,1771987019628,3228,3228,3228,3228,3228,3228,3228,3228,60.084136962890625,56.319129943847656,60.210960388183594,62.471038818359375,59.75873565673828,56.54332733154297,59.87779235839844,57.05561065673828,60.594696044921875,56.20996856689453,95,100,57.894737243652344,55,47.619049072265625,45,31.57894515991211,20,6.6317362785339355,17179869184,0,11791122432,0
207,1771987019840,3228,3228,3228,3228,3228,3228,3228,3228,60.084136962890625,56.319129943847656,60.210960388183594,62.471038818359375,59.75873565673828,56.54332733154297,59.87779235839844,57.05561065673828,60.594696044921875,56.20996856689453,85.71428680419922,82.60869598388672,28.571430206298828,57.142860412597656,5,14.285715103149414,9.090909004211426,0,6.6317362785339355,17179869184,0,12274483200,0
209,1771987020047,3228,3228,3228,3228,3228,3228,3228,3228,62.24607849121094,56.8532600402832,63.812347412109375,66.72840118408203,61.679222106933594,58.250999450683594,61.1323127746582,58.67802810668945,61.75798416137695,57.550811767578125,100,100,66.66667175292969,52.38095474243164,47.619049072265625,50,38.095237731933594,33.333335876464844,6.6317362785339355,17179869184,0,12289196032,0
