Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771994760083,3228,3228,3228,3228,3228,3228,3228,3228,58.842132568359375,56.438148498535156,57.68102264404297,59.546600341796875,59.33995819091797,56.994789123535156,58.38972091674805,56.74017333984375,60.3813591003418,56.203697204589844,100,NaN,33.333335876464844,0,0,0,0,0,5.593326091766357,17179869184,0,9448128512,0
208,1771994760083,3228,3228,3228,3228,3228,3228,3228,3228,58.842132568359375,56.438148498535156,57.68102264404297,59.546600341796875,59.33995819091797,56.994789123535156,58.38972091674805,56.74017333984375,60.3813591003418,56.203697204589844,0,50,NaN,50,50,100,0,0,5.593326091766357,17179869184,0,9448128512,0
208,1771994760292,3228,3228,3228,3228,3228,3228,3228,3228,58.842132568359375,56.438148498535156,57.68102264404297,59.546600341796875,59.33995819091797,56.994789123535156,58.38972091674805,56.74017333984375,60.3813591003418,56.203697204589844,85.71428680419922,80.95238494873047,52.38095474243164,65,45,28.571430206298828,14.285715103149414,9.523809432983398,5.593326091766357,17179869184,0,9448128512,0
200,1771994760500,3228,3228,3228,3228,3228,3228,3228,3228,58.842132568359375,56.438148498535156,57.68102264404297,59.546600341796875,59.33995819091797,56.994789123535156,58.38972091674805,56.74017333984375,60.3813591003418,56.203697204589844,90.47618865966797,90.47618865966797,55,52.38095474243164,42.85714340209961,40,28.571430206298828,15.000000953674316,5.782634258270264,17179869184,0,9448128512,0
200,1771994760701,3228,3228,3228,3228,3228,3228,3228,3228,58.842132568359375,56.438148498535156,57.68102264404297,59.546600341796875,59.33995819091797,56.994789123535156,58.38972091674805,56.74017333984375,60.3813591003418,56.203697204589844,73.68421173095703,70,25,30.000001907348633,5,5,0,0,5.782634258270264,17179869184,0,10079322112,0
201,1771994760902,3228,3228,3228,3228,3228,3228,3228,3228,58.842132568359375,56.438148498535156,57.68102264404297,59.546600341796875,59.33995819091797,56.994789123535156,58.38972091674805,56.74017333984375,60.3813591003418,56.203697204589844,80.95238494873047,80,15.000000953674316,21.052631378173828,0,0,0,0,5.782634258270264,17179869184,0,10307649536,0
209,1771994761104,3228,3228,3228,3228,3228,3228,3228,3228,62.125404357910156,58.18642044067383,63.87146759033203,65.9293441772461,63.46625518798828,59.50102996826172,61.52531051635742,59.937034606933594,62.50081253051758,57.946624755859375,84.21052551269531,90,35,33.333335876464844,23.809524536132813,19.047618865966797,15.000000953674316,5,5.782634258270264,17179869184,0,10456760320,0
200,1771994761314,3228,3228,3228,3228,3228,3228,3228,3228,62.125404357910156,58.18642044067383,63.87146759033203,65.9293441772461,63.46625518798828,59.50102996826172,61.52531051635742,59.937034606933594,62.50081253051758,57.946624755859375,72.7272720336914,71.42857360839844,15.000000953674316,20,4.761904716491699,0,0,0,5.782634258270264,17179869184,0,10471702528,0
199,1771994761514,3228,3228,3228,3228,3228,3228,3228,3228,62.125404357910156,58.18642044067383,63.87146759033203,65.9293441772461,63.46625518798828,59.50102996826172,61.52531051635742,59.937034606933594,62.50081253051758,57.946624755859375,90,95,55,45,26.3157901763916,15.000000953674316,10,10,11.278791427612305,17179869184,0,12112084992,0
199,1771994761714,3228,3228,3228,3228,3228,3228,3228,3228,62.125404357910156,58.18642044067383,63.87146759033203,65.9293441772461,63.46625518798828,59.50102996826172,61.52531051635742,59.937034606933594,62.50081253051758,57.946624755859375,100,100,30.000001907348633,15.000000953674316,10,5,0,0,11.278791427612305,17179869184,0,12482232320,0
