Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772000707352,3228,3228,3228,3228,3228,3228,3228,3228,57.287925720214844,53.1561393737793,54.332427978515625,56.8299674987793,56.47650909423828,54.697105407714844,56.49116134643555,53.59343719482422,58.271915435791016,53.641029357910156,100,NaN,0,0,0,0,0,0,3.119527816772461,17179869184,0,10082779136,0
201,1772000707352,3228,3228,3228,3228,3228,3228,3228,3228,57.287925720214844,53.1561393737793,54.332427978515625,56.8299674987793,56.47650909423828,54.697105407714844,56.49116134643555,53.59343719482422,58.271915435791016,53.641029357910156,0,100,50,100,50,0,0,0,3.119527816772461,17179869184,0,10087235584,0
201,1772000707554,3228,3228,3228,3228,3228,3228,3228,3228,57.287925720214844,53.1561393737793,54.332427978515625,56.8299674987793,56.47650909423828,54.697105407714844,56.49116134643555,53.59343719482422,58.271915435791016,53.641029357910156,15.000000953674316,20,20,60.000003814697266,10.526315689086914,10,4.761904716491699,4.761904716491699,3.1534264087677,17179869184,0,10139631616,0
200,1772000707756,3228,3228,3228,3228,3228,3228,3228,3228,57.287925720214844,53.1561393737793,54.332427978515625,56.8299674987793,56.47650909423828,54.697105407714844,56.49116134643555,53.59343719482422,58.271915435791016,53.641029357910156,95,90,57.894737243652344,50,38.095237731933594,52.38095474243164,26.3157901763916,26.3157901763916,3.1534264087677,17179869184,0,10275618816,0
199,1772000707957,3228,3228,3228,3228,3228,3228,3228,3228,57.287925720214844,53.1561393737793,54.332427978515625,56.8299674987793,56.47650909423828,54.697105407714844,56.49116134643555,53.59343719482422,58.271915435791016,53.641029357910156,100,100,21.052631378173828,35,14.285715103149414,10,10,4.761904716491699,3.1534264087677,17179869184,0,10531717120,0
201,1772000708157,3228,3228,3228,3228,3228,3228,3228,3228,60.31096267700195,55.16514205932617,60.18621063232422,63.02699661254883,59.48249816894531,56.80366897583008,59.38941192626953,56.899967193603516,60.27298355102539,55.180519104003906,95,95,40,45,31.57894515991211,15.789472579956055,19.047618865966797,10,3.1534264087677,17179869184,0,11011915776,0
202,1772000708359,3228,3228,3228,3228,3228,3228,3228,3228,60.31096267700195,55.16514205932617,60.18621063232422,63.02699661254883,59.48249816894531,56.80366897583008,59.38941192626953,56.899967193603516,60.27298355102539,55.180519104003906,68.42105102539063,60.000003814697266,19.047618865966797,22.22222328186035,10,5,0,0,3.1534264087677,17179869184,0,11464704000,0
200,1772000708562,3228,3228,3228,3228,3228,3228,3228,3228,60.31096267700195,55.16514205932617,60.18621063232422,63.02699661254883,59.48249816894531,56.80366897583008,59.38941192626953,56.899967193603516,60.27298355102539,55.180519104003906,66.66667175292969,65,26.3157901763916,31.81818199157715,10,14.285715103149414,9.523809432983398,4.761904716491699,6.72221565246582,17179869184,0,11727601664,0
200,1772000708762,3228,3228,3228,3228,3228,3228,3228,3228,60.31096267700195,55.16514205932617,60.18621063232422,63.02699661254883,59.48249816894531,56.80366897583008,59.38941192626953,56.899967193603516,60.27298355102539,55.180519104003906,85.71428680419922,85,45,45,20,25,15.000000953674316,15.000000953674316,6.72221565246582,17179869184,0,11739594752,0
199,1772000708963,3228,3228,3228,3228,3228,3228,3228,3228,60.31096267700195,55.16514205932617,60.18621063232422,63.02699661254883,59.48249816894531,56.80366897583008,59.38941192626953,56.899967193603516,60.27298355102539,55.180519104003906,100,100,15.000000953674316,10,9.523809432983398,5,0,0,6.72221565246582,17179869184,0,11748900864,0
